Time,Temperature (° F),Dew Point (° F),Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in),Arithmetic Mean
15,58.4,45.3,63.5,6.6,29.6,0.11,0.0192
16,57.5,51.6,81,5.4,29.4,0,0.014824
17,57.6,49.2,76.5,6.5,29.3,0.64,0.025471
18,58.5,48.3,69.8,6.2,29.4,0.03,0.025529
19,56.1,48.7,76.8,7.9,29.5,0,0.023765
20,53.7,48,81.3,9.7,29.6,0,0.024647
21,51,44.7,79.5,8.8,29.5,0.03,0.021765
22,52.8,44.5,74.7,9.6,29.6,0.36,0.022353
23,54.8,43.5,67.8,4.4,29.7,0.05,0.019176
24,59.7,46.6,63.8,4.3,29.7,0,0.026412
25,58.4,53.9,85.4,6.8,29.6,0.01,0.016588
26,56.8,50,79,5.9,29.7,0.1,0.019235
27,62.7,46.7,59,6.9,29.7,0,0.028235
28,69.5,47.8,47.2,7.3,29.5,0,0.032
29,67.8,47.2,48.6,7.4,29.4,0,0.035
30,54,49.1,84.7,7.8,29.4,0,0.018706
31,53.7,47.1,79.9,8.6,29.6,1.25,0.013294
32,58.7,43.7,59.1,7.2,29.7,0.07,0.022824
33,56.8,46.7,69.8,5.8,29.7,0,0.020647
34,57.1,47.2,70.9,6.5,29.7,0,0.031
35,59.4,45,60,6,29.6,0,0.030941
36,57.8,47.3,68.5,6.3,29.3,0,0.020235
37,55.1,46.5,73.4,10.2,29.3,0,0.023412
38,55.3,47.6,76.4,10,29.5,0.02,0.024118
39,56.7,44.6,65.3,12.5,29.7,0.01,0.022706
40,56.4,54,91.6,8,29.6,0.06,0.009706
41,61,55.1,82,4.2,29.6,0.42,0.015706
42,61.3,52.7,75.2,5,29.6,0.02,0.017176
43,56,51.5,85.1,7.8,29.5,0.12,0.015765
44,55.6,49.7,81.6,7.2,29.5,0.31,0.023
45,57.1,45.2,66.3,9,29.5,0.07,0.018706
46,56.5,50.1,79.8,10,29.4,0.02,0.017824
47,57.8,47.4,70.6,6.2,29.6,0.17,0.018471
48,61.6,49.9,67.1,5.8,29.8,0,0.020059
49,64.5,50.4,62.4,7.4,29.7,0,0.020765
50,69.2,53.3,58.7,5.2,29.5,0,0.024882
51,64.4,56.5,75.8,9,29.5,0,0.017588
52,62.1,52.3,71.5,7.6,29.7,0.03,0.022765
53,66.2,47,53.4,7.8,29.7,0,0.028588
54,70.8,52.8,53.5,7.5,29.6,0,0.023
55,67.5,57,69.8,8.3,29.5,0,0.016941
56,66.7,55.4,69.7,6.3,29.6,0,0.020471
57,68.9,54.5,62.3,5.5,29.6,0,0.030118
58,58.6,52.5,81.2,7.7,29.5,0.12,0.014471
59,58.1,50.8,78.7,5.7,29.4,0.78,0.013765
60,60.6,52.5,75.5,10.1,29.5,0,0.018353
61,58.1,50.5,77,13.2,29.5,0.02,0.023333
